name,slug,appid,release_date,total_reviews,followers,review_score,avg_playtime,copies_sold,revenue,players,owners,peak_concurrent_players_after_90,peak_concurrent_players_timestamp,avg_concurrent_players_after_90,estimated_launch_reviews,estimated_launch_followers,estimated_launch_copies_sold,developer,publisher
Far Cry 3,far_cry_3,220240,2012-12-04,110702.0,145856.0,89.0,20.26701932577147,6145179.0,52288936.0,6414396.0,8989969.0,19918.0,2013-01-01 00:00:00,8324.175824175823,11070.2,14585.6,614517.9,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft
Just Cause 3,just_cause_3,225540,2015-11-30,101178.0,314492.0,84.0,20.19651091151687,7763793.0,81560760.0,8564730.0,12059572.0,23376.0,2015-12-01 00:00:00,8172.362637362637,10117.800000000001,31449.2,776379.3,Avalanche Studios,Square Enix
Mad Max,mad_max,234140,2015-09-01,54714.0,233541.0,92.0,23.114079492281707,3841332.0,52737877.0,4700723.0,6267631.0,33356.0,2015-09-06 00:00:00,8376.285714285714,5471.400000000001,23354.100000000002,384133.2,Avalanche Studios,Warner Bros. Games
Deus Ex: Human Revolution - Director's Cut,deus_ex_human_revolution_director_s_cut,238010,2013-10-25,24372.0,44646.0,92.0,16.451695860226902,2288296.0,13574789.0,2477476.0,4264089.0,3009.0,2013-10-26 00:00:00,1844.952380952381,2437.2000000000003,4464.6,228829.6,Eidos Montreal,Eidos Interactive Corp.
Dying Light,dying_light,239140,2016-04-21,354983.0,737221.0,95.0,32.188082742932004,19607604.0,260608747.0,22401612.0,26090375.0,7398.0,2016-07-04 00:00:00,3576.769230769231,35498.3,73722.1,1960760.4000000001,Techland,Techland
Assassins Creed IV Black Flag,assassin_s_creed_iv_black_flag,242050,2013-11-19,68057.0,149602.0,88.0,21.40153141135927,3009321.0,84557260.0,3140788.0,3140788.0,16049.0,2013-11-29 00:00:00,7119.761904761905,6805.700000000001,14960.2,300932.10000000003,Ubisoft Montreal,Ubisoft Montreal
The Forest,the_forest,242760,2018-04-30,552610.0,790541.0,96.0,21.411629111058314,30908203.0,232364738.0,33402664.0,38994003.0,25874.0,2018-05-06 00:00:00,14326.296703296704,55261.0,79054.1,3090820.3000000003,Endnight Games Ltd,Endnight Games Ltd
Watch_Dogs,watch_dogs,243470,2014-05-26,44554.0,102949.0,79.0,18.66548163433957,2419304.0,39002419.0,2505347.0,3366207.0,47887.0,2014-05-27 00:00:00,8212.08,4455.400000000001,10294.900000000001,241930.40000000002,Ubisoft,Ubisoft
Borderlands: The Pre-Sequel,borderlands_the_pre_sequel,261640,2014-10-13,31296.0,205447.0,79.0,22.364799497201457,3140219.0,56326729.0,5876513.0,10916341.0,68238.0,2014-10-18 00:00:00,15389.9010989011,3129.6000000000004,20544.7,314021.9,2K Australia,2K
Grand Theft Auto V,grand_theft_auto_v,271590,2015-04-13,1827117.0,3386947.0,87.0,151.31782987508095,65599554.0,542420037.2711698,65599554.0,73914828.0,364544.0,2015-04-19 00:00:00,126284.95555555556,182711.7,338694.7,6559955.4,Rockstar North,Rockstar Games
No Man's Sky,no_man_s_sky,275850,2016-08-12,294263.0,843837.0,84.0,48.745354491870714,11147707.0,386432840.0,12721375.0,14453019.0,212604.0,2016-08-12 00:00:00,14279.725274725277,29426.300000000003,84383.70000000001,1114770.7,Hello Games,Hello Games
METAL GEAR SOLID V: THE PHANTOM PAIN,metal_gear_solid_v_the_phantom_pain,287700,2015-09-01,70283.0,255279.0,92.0,47.246496100878765,4437620.0,105624096.0,5306733.0,7557252.0,91074.0,2015-09-06 00:00:00,27763.98901098901,7028.3,25527.9,443762.0,KONAMI,KONAMI
Sid Meiers Civilization VI,sid_meier_s_civilization_vi,289070,2016-10-20,265933.0,801793.0,86.0,72.61531056292027,23426556.0,381346601.0,27108859.0,33947013.0,162475.0,2016-10-22 00:00:00,49043.71428571428,26593.300000000003,80179.3,2342655.6,Firaxis Games,2K
The Witcher 3: Wild Hunt,the_witcher_3_wild_hunt,292030,2015-05-18,784586.0,989722.0,97.0,51.88661625800921,27997948.0,369082450.0,29068871.0,36546599.0,92266.0,2015-05-24 00:00:00,29020.24175824176,78458.6,98972.20000000001,2799794.8000000003,CD PROJEKT RED,CD PROJEKT RED
