appid,name,slug,release_date,review_score,avg_playtime,players,avg_concurrent_players_after_90,estimated_launch_reviews,estimated_launch_followers,estimated_launch_copies_sold,developer,publisher,avg_sentiment,is_singleplayer,price,is_vet_dev,is_successful,is_sequel,is_q4_release,is_free
379430,Kingdom Come: Deliverance,kingdom_come_deliverance,2018-02-13,84.0,40.98342521732941,7287567.0,21153.054945054944,13054.9,39048.8,643640.4,Warhorse Studios,Warhorse Studios,0.2995742000000004,True,59.99,0,1.0,1,0,0
403640,Dishonored 2,dishonored_2,2016-11-11,90.0,16.626156469939023,4912188.0,5995.791208791209,4106.1,22085.0,402605.6,Arkane Studios,Bethesda Softworks,0.5207021000000013,True,59.99,0,1.0,1,1,0
407530,ARK: The Survival Of The Fittest,ark_the_survival_of_the_fittest,2017-08-29,66.0,6.088098177432734,2833322.0,176.96703296703296,458.4,7060.700000000001,283332.2,Studio Wildcard,Studio Wildcard,0.1668166666666666,True,14.99,0,1.0,1,0,0
409710,BioShock Remastered,bioshock_remastered,2016-09-15,82.0,7.228103438477894,5287539.0,1117.4,4887.0,2782.3,374990.0,2K Boston,2K,0.5526349999999997,True,19.99,1,1.0,1,0,0
447040,Watch_Dogs 2,watch_dogs_2,2016-11-28,83.0,21.80844638557522,5111923.0,5654.021978021978,8130.6,34323.8,492968.8000000001,Ubisoft,Ubisoft,0.4292766000000008,True,59.99,1,1.0,1,1,0
489830,The Elder Scrolls V: Skyrim Special Edition,the_elder_scrolls_v_skyrim_special_edition,2016-10-27,92.0,65.86340515838256,23939373.0,27698.252747252747,20049.1,54415.8,1878846.5,Bethesda Game Studios,Bethesda Softworks,0.4140631000000003,True,39.99,1,1.0,1,1,0
517630,Just Cause 4 Reloaded,just_cause_4_reloaded,2018-12-04,62.0,16.822744595318607,1776293.0,1657.7252747252746,2236.6,10824.8,177629.30000000002,Avalanche Studios,Square Enix,0.2746454000000001,True,59.99,0,1.0,1,1,0
578080,PUBG: BATTLEGROUNDS,pubg_battlegrounds,2017-12-21,60.0,150.45754694391013,170818879.0,2729682.186813187,264051.0,342216.10000000003,17081887.900000002,PUBG Corporation,"KRAFTON, Inc.",0.1611575999999999,False,29.99,0,1.0,1,1,0
582010,Monster Hunter: World,monster_hunter_world,2018-08-09,89.0,117.44113086102077,21545931.0,153542.72527472526,30490.6,89580.3,1736585.4,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.3559690000000001,True,59.99,1,1.0,1,0,0
638970,Yakuza 0,yakuza_0,2018-08-01,96.0,32.57919306787833,3088061.0,2621.5054945054944,6052.3,8850.300000000001,277412.9,Ryu Ga Gotoku Studio,SEGA,0.323862,True,19.99,0,1.0,0,0,0
729040,Borderlands Game of the Year Enhanced,borderlands_game_of_the_year_enhanced,2009-10-26,81.0,15.60614195468453,2755737.0,9.56140350877193,1726.6,1253.1,49028.7,Gearbox Software,2K,0.4834048000000006,True,29.99,1,0.0,0,1,0
