name,slug,appid,release_date,total_reviews,followers,review_score,avg_playtime,copies_sold,revenue,players,owners,peak_concurrent_players_after_90,peak_concurrent_players_timestamp,avg_concurrent_players_after_90
Mafia II (Classic),mafia_ii_classic,50130,2011-03-22,34953.0,93188.0,94.0,23.21535310499226,2901434.0,19198066.0,3588737.0,6281695.0,3675.0,2011-04-11 00:00:00,1935.5384615384614
Saints Row: The Third,saints_row_the_third,55230,2011-11-14,48291.0,71509.0,96.0,25.42238706116516,6523588.0,32781120.0,7676223.0,9983497.0,9135.0,2011-11-18 00:00:00,4146.384615384615
Batman: Arkham City - Game of the Year Edition,batman_arkham_city_game_of_the_year_edition,200260,2012-09-07,51689.0,52935.0,96.0,15.196698738280364,1548473.0,10580310.0,5761403.0,11147815.0,3651.0,2012-12-01 00:00:00,1560.904761904762
Hitman: Absolution,hitman_absolution,203140,2012-11-19,45109.0,69551.0,93.0,11.963467671015422,4438861.0,29681068.0,5021125.0,7270706.0,26137.0,2012-11-19 00:00:00,6365.263736263736
Max Payne 3,max_payne_3,204100,2012-05-31,50725.0,63177.0,87.0,13.26381592927271,3025720.0,21887251.0,3272245.0,4620785.0,9594.0,2012-06-02 00:00:00,2192.911111111111
Saints Row IV: Re-Elected,saints_row_iv_re_elected,206420,2013-08-19,57250.0,82265.0,88.0,19.495364441031512,6321025.0,34364585.0,7262594.0,9217117.0,38655.0,2013-08-23 00:00:00,7124.945054945055
Batman: Arkham Knight,batman_arkham_knight,208650,2015-06-23,102138.0,190935.0,89.0,21.53784979713804,5937611.0,46174572.0,7034710.0,11490593.0,27405.0,2015-06-23 00:00:00,4819.197802197802
PAYDAY 2,payday_2,218620,2013-08-13,439157.0,8203100.0,89.0,43.61351699303307,38663692.0,176255558.0,46647386.0,63402912.0,57349.0,2013-08-13 00:00:00,16758.747252747253
Chivalry: Medieval Warfare,chivalry_medieval_warfare,219640,2012-10-16,44669.0,338260.0,83.0,15.32077734585815,6778613.0,44839694.0,8050281.0,10626971.0,23094.0,2013-01-01 00:00:00,4608.725274725275
Far Cry 3,far_cry_3,220240,2012-12-04,110675.0,145853.0,89.0,20.24865117478178,6144456.0,52284701.0,6413704.0,8989000.0,19918.0,2013-01-01 00:00:00,8324.175824175823
Just Cause 3,just_cause_3,225540,2015-11-30,101169.0,314496.0,84.0,20.22420905034839,7762262.0,81543155.0,8563043.0,12057196.0,23376.0,2015-12-01 00:00:00,8172.3626373626375
Mad Max,mad_max,234140,2015-09-01,54698.0,233528.0,92.0,23.096000392860702,3838289.0,52722766.0,4697047.0,6262729.0,33356.0,2015-09-06 00:00:00,8376.285714285714
Deus Ex: Human Revolution - Director's Cut,deus_ex_human_revolution_director_s_cut,238010,2013-10-25,24371.0,44648.0,92.0,16.45460012491453,2289014.0,13579540.0,2478181.0,4265303.0,3009.0,2013-10-26 00:00:00,1844.952380952381
Dying Light,dying_light,239140,2016-04-21,354929.0,737174.0,95.0,32.145051003198915,19612695.0,260691887.0,22407408.0,26097126.0,7398.0,2016-07-04 00:00:00,3576.769230769231
Assassins Creed IV Black Flag,assassin_s_creed_iv_black_flag,242050,2013-11-19,68052.0,149588.0,88.0,21.49693911619116,3009398.0,84559856.0,3140878.0,3140878.0,16049.0,2013-11-29 00:00:00,7119.761904761905
The Forest,the_forest,242760,2018-04-30,552544.0,790506.0,96.0,21.42273200633006,30900094.0,232293875.0,33393820.0,38983678.0,25874.0,2018-05-06 00:00:00,14326.296703296703
Watch_Dogs,watch_dogs,243470,2014-05-26,44544.0,102935.0,79.0,18.6669083230876,2418823.0,39013190.0,2504842.0,3365529.0,47887.0,2014-05-27 00:00:00,8212.08
